region,dday,week,date,temp.avg,temp.low,temp.high,dtv,rainfall,wind,rel.hum,pressure,sunduration,temp.ground,co,no2,o3,so3,pm10,pm25,case,ma.case,total.case
seoul,1,1,2020-01-01,-2.9,-6.9,0.3,7.2,0.1,0.9,73.6,1024.5,1.3,-1.1,0.6,0.034,0.006,0.003,34,23,0,0,0
seoul,2,1,2020-01-02,0.2,-2.2,3.3,5.4,0,0.9,78.3,1021.9,0.1,0,0.8,0.04,0.005,0.004,60.7,41.3,0,0,0
seoul,3,1,2020-01-03,-0.8,-5,4.9,10,0,1.2,70.2,1019.6,8.4,-0.6,0.9,0.037,0.012,0.004,69,46,0,0,0
seoul,4,1,2020-01-04,0.1,-5.2,6.7,11.9,0,1.3,66.9,1018.6,7.5,-0.4,0.9,0.04,0.014,0.004,58.3,40.3,0,0,0
seoul,5,2,2020-01-05,-0.4,-6,5.6,11.6,0,0.9,64,1023,7,-0.8,0.8,0.038,0.012,0.005,52.3,35.3,0,0,0
seoul,6,2,2020-01-06,1.9,-1.9,3.9,5.8,2.5,1.8,78.7,1018.5,0,0.4,0.7,0.04,0.006,0.004,42,29,0,0,0
seoul,7,2,2020-01-07,5.8,3.4,7.8,4.4,53,2.4,98.5,1002.5,0,3.7,0.5,0.029,0.01,0.003,9.7,6.7,0,0,0
seoul,8,2,2020-01-08,2.8,-0.1,8.6,8.7,9,3.2,89.7,1006.7,0.2,3.8,0.6,0.018,0.022,0.003,29,23,0,0,0
seoul,9,2,2020-01-09,-1,-3.7,2.4,6.1,0,1.9,73.4,1016.5,8.1,1.2,0.6,0.021,0.023,0.004,49,37.3,0,0,0
seoul,10,2,2020-01-10,-1.3,-5.2,4.1,9.3,0,1.1,77.6,1016.2,7.5,0.2,0.8,0.038,0.011,0.004,65.7,49,0,0,0
seoul,11,2,2020-01-11,-0.8,-4.6,4,8.6,0,1.3,75,1012.6,7.7,-0.1,0.8,0.033,0.017,0.004,54.3,39.7,0,0,0
seoul,12,3,2020-01-12,-1.1,-3.9,2.7,6.6,0,1.8,70.1,1010.7,8.2,0.2,0.6,0.017,0.028,0.004,42,29.7,0,0,0
seoul,13,3,2020-01-13,-2.9,-5.7,1,6.6,0,1.9,62.4,1015.6,8.1,-1.3,0.5,0.021,0.021,0.003,24.7,14.7,0,0,0
seoul,14,3,2020-01-14,-3,-7.4,2.4,9.8,0,1.3,61,1018.3,8.5,-1.5,0.6,0.034,0.013,0.004,33.7,21,0,0,0
seoul,15,3,2020-01-15,-3.4,-8.3,2.2,10.5,0,1.4,61.9,1020.9,9,-2,0.6,0.03,0.015,0.005,41.3,25.3,0,0,0
seoul,16,3,2020-01-16,-2.9,-7.3,3.2,10.5,0,1.3,61,1019.6,7.8,-1.8,0.7,0.032,0.014,0.005,43,27.3,0,0,0
seoul,17,3,2020-01-17,-1.8,-6.6,4.6,11.2,0,1.2,63.1,1015.9,7.7,-1.1,0.8,0.042,0.011,0.005,61.7,37,0,0,0
seoul,18,3,2020-01-18,-0.7,-6,5.9,12,0,1.3,61.9,1014,8.8,-0.9,0.8,0.039,0.014,0.005,64,39,0,0,0
seoul,19,4,2020-01-19,0.9,-2.5,5.5,8,0.3,1.7,74.3,1011.3,4,0.2,0.9,0.032,0.02,0.004,64.7,47.3,0,0,0
seoul,20,4,2020-01-20,0.3,-3.9,5.9,9.8,0,2.3,60.4,1015.3,8,-0.1,0.6,0.023,0.024,0.004,51.7,27.7,0,0,0
seoul,21,4,2020-01-21,-1.5,-7,4.5,11.5,0,1.1,53.7,1022.1,9.1,-1,0.7,0.038,0.013,0.005,47,26.3,0,0,0
seoul,22,4,2020-01-22,1.6,-1.8,6.8,8.6,0,1.1,56.5,1017.8,3,0.9,0.8,0.05,0.006,0.005,49.7,30,0,0,0
seoul,23,4,2020-01-23,3.8,-1.6,10.3,11.9,0,1.7,62.8,1016.7,8.6,1.5,0.7,0.036,0.02,0.004,63.7,40.3,0,0,0
seoul,24,4,2020-01-24,1.7,-3.1,7.8,10.9,0,1.4,72.4,1022.7,8.4,1.1,0.8,0.027,0.021,0.004,71,49,0,0,0
seoul,25,4,2020-01-25,2.5,-2.1,8.6,10.7,0,1.1,75.7,1021.9,4.6,1.2,0.7,0.031,0.013,0.003,50.7,36,0,0,0
seoul,26,5,2020-01-26,4.7,-2.4,11.5,13.9,0,2.1,65.1,1019.7,7.5,2.4,0.6,0.021,0.021,0.003,30.7,21,0,0,0
seoul,27,5,2020-01-27,5.9,4.2,7.9,3.8,0.5,3.2,57.7,1013.6,0,2.8,0.3,0.01,0.033,0.003,10.7,4,0,0,0
seoul,28,5,2020-01-28,7,3.5,10.7,7.2,0.1,2.4,58.8,1010.7,0.7,4.8,0.4,0.018,0.024,0.003,12.7,5.3,0,0,0
seoul,29,5,2020-01-29,5.1,0.8,10.1,9.3,0,1.7,62.4,1008.4,6.1,3.6,0.5,0.026,0.017,0.003,18.3,8.3,0,0,0
seoul,30,5,2020-01-30,4.5,-0.3,10.1,10.3,0,1.4,62.8,1007.5,6.5,3.1,0.5,0.027,0.018,0.003,20.7,10.7,0,0,0
seoul,31,5,2020-01-31,3.1,-0.3,8.4,8.6,0,1.7,74.3,1012.1,5.6,2.8,0.6,0.029,0.019,0.003,35.7,23.7,0,0,0
seoul,32,5,2020-02-01,1.5,-2.9,7.2,10.1,0,1.3,77.8,1016.6,4.2,2,0.8,0.031,0.022,0.004,67.3,49.3,0,0,0
seoul,33,6,2020-02-02,0.7,-3.5,5.1,8.6,0,1.2,66,1018,3.7,1.2,0.8,0.025,0.027,0.004,67,51.3,0,0,0
seoul,34,6,2020-02-03,-0.6,-4,3.2,7.2,0,2.4,53.7,1019.5,9.4,1.5,0.4,0.016,0.029,0.003,24.7,14.7,0,0,0
seoul,35,6,2020-02-04,-2.1,-7.8,4.3,12.1,1.4,2.2,67.8,1018.9,6.4,-0.5,0.5,0.023,0.022,0.003,25.7,15.7,0,0,0
seoul,36,6,2020-02-05,-8,-10.9,-3.6,7.3,0,2.6,46.2,1024.2,9.8,-2.3,0.4,0.012,0.026,0.003,22,9.7,0,0,0
seoul,37,6,2020-02-06,-7.1,-13,-0.5,12.5,0,1.5,53.1,1026.3,9.6,-2.6,0.5,0.028,0.015,0.004,39,20,0,0,0
seoul,38,6,2020-02-07,-2.1,-8.6,2.6,11.2,0,1.3,60.2,1021.7,5,-0.3,0.6,0.03,0.016,0.004,37.7,24,0,0,0
seoul,39,6,2020-02-08,0.1,-3.2,4.4,7.6,0,2.6,55.4,1019.8,9.3,0.9,0.5,0.015,0.031,0.004,39.3,27.3,0,0,0
seoul,40,7,2020-02-09,-1.1,-7.5,4.4,11.9,0,1.5,64,1017.8,9.5,-0.1,0.5,0.022,0.026,0.004,34.7,23,1,0.2,1
